,代码,名称,收入同比%%,利润同比%%,营业利润率%%,市销率,市净率,市现率,市盈(动),总金额,量比,细分行业,地区,振幅%%,均价,内盘,外盘,内外比,买量,卖量,未匹配量,流通股本(万),流通市值,AB股总市值,强弱度%%,活跃度,每笔均量,每笔换手,财务更新,上市日期,总股本(万),B股(或A),H股,总资产(万),净资产,少数股权,资产负债率%%,流动资产,固定资产,无形资产,流动负债,公积金,存货,应收帐款,营业收入,营业成本,营业利润,投资收益,利润总额,税后利润,净利润,未分利润,经营现金流,总现金流,股东人数,人均持股,人均市值,换手%%,涨速%%,最低,昨收,最高,每股收益,每股净资,调整后净资,每股公积,每股未分配,权益比,净益率%%,销售毛利率%%,今开,净利润率%%,total1,total2,total3,total4
106,000505,珠江控股,9.17,127.97,25.11,22.42,-34.65,-32.13,70.98,142384592.0,0.77,全国地产,海南,12.72,7.4,91905.0,100443.0,0.91,0.0,5163.0,,36044.53,25.77,         30.51亿,-8.89,3031.0,63.0,0.0018,20150829.0,19921221.0,42674.53,6497.5,0.0,158808.44,-8807.05,63.91,105.51,99107.78,42577.96,3007.66,122097.4,33469.07,43960.53,1416.87,13611.77,10073.73,3418.15,12413.73,3449.53,1864.11,2149.25,-95899.38,-9496.26,3861.26,40122.0,8984.0,6.42万,5.34,0.0,7.15,7.94,8.16,0.050㈡,-0.21,0.0,0.78,-2.25,-5.55,,25.99,7.2,15.79,11272223.0712,1143420.768,1829.1546,185.544
107,000506,中润资源,74.3,104.51,-6.43,20.34,4.24,-102.59,580.05,227163232.0,0.8,区域地产,山东,12.5,6.68,171378.0,168771.0,1.02,0.0,6787.0,,92831.09,59.5,         59.55亿,-8.91,2795.0,122.0,0.0013,20150821.0,19930312.0,92901.77,0.0,0.0,386504.97,140526.63,10276.44,60.98,303595.31,31361.34,32978.78,210847.3,3111.7,151496.27,2327.09,29281.7,19067.07,-1883.9,0.0,-1851.28,-1158.0,513.32,40068.12,-5804.83,13843.5,49492.0,18757.0,12.02万,3.66,-0.15,6.41,7.12,7.3,0.006㈡,1.51,0.0,0.03,0.43,36.36,          0.37㈡,34.88,6.6,1.75,224192207.848,2550932.802,34512.975,392.7
108,000507,珠海港,43.36,284.56,5.54,4.53,1.81,35.52,45.19,100874160.0,0.67,港口,广东,10.07,5.79,92347.0,81865.0,1.13,427.0,2388.0,,77214.38,44.01,         45.00亿,-1.67,2962.0,59.0,0.0008,20150828.0,19930326.0,78954.09,0.0,0.0,553998.81,248569.34,19844.0,51.55,113922.45,182200.48,24096.88,117940.97,76403.46,5714.0,37273.98,99366.74,79788.21,5507.78,3578.31,6388.18,5319.58,4979.14,79351.68,12671.61,2359.01,122608.0,6298.0,3.59万,2.26,-0.34,5.5,5.86,6.09,0.063㈡,3.15,0.0,0.97,1.01,44.87,          2.00㈡,19.7,5.58,5.01,25035206.2239,3091313.3598,1988.8119,245.5758
109,000509,华塑控股,-8.34,16.57,-30.95,45.75,161.51,-113.05,,158805552.0,1.37,其他建材,四川,12.18,4.42,199830.0,159162.0,1.26,4612.0,1296.0,,60563.23,25.92,         35.33亿,-7.49,2970.0,121.0,0.002,20150829.0,19930507.0,82548.31,0.0,0.0,55616.71,2187.48,-3108.56,101.66,33032.0,12409.91,8.08,55483.55,16357.37,15626.77,6327.22,7723.18,6718.4,-2390.67,0.0,-2263.5,-2266.65,-2174.56,-99794.95,-3125.3,-6671.87,58736.0,10311.0,4.41万,5.93,-0.46,4.22,4.68,4.79,-0.026㈡,0.03,0.0,0.2,-1.21,3.93,        -99.41㈡,13.01,4.4,-28.16,,244713.524,,114.048
110,000510,*ST金路,-18.93,-28.98,-11.82,8.17,9.83,-65.41,,149937312.0,0.31,化工原料,四川,2.4,10.75,43861.0,95620.0,0.46,0.0,52767.0,,60912.3,65.24,         65.24亿,-3.91,1655.0,84.0,0.0014,20150820.0,19930507.0,60918.23,0.0,0.0,156533.98,66399.15,5463.91,54.09,35374.7,106979.52,6976.91,78485.88,4521.18,14736.48,2854.56,79886.7,78178.9,-9439.69,-45.65,-7451.06,-7451.06,-7238.56,-10082.45,-9973.91,-15781.0,83096.0,7330.0,7.85万,2.29,0.0,10.71,11.27,10.98,-0.119㈡,1.09,0.0,0.07,-0.17,42.42,        -10.90㈡,2.14,10.72,-9.06,,1678044.2656,,699.3728
111,000511,烯碳新材,-14.75,-16.14,2.6,17.4,7.16,-56.24,450.58,0.0,0.0,矿物制品,辽宁,0.0,8.91,0.0,0.0,,0.0,0.0,,115482.22,102.89,        102.90亿,1.06,0.0,,,20150829.0,19930518.0,115483.2,0.0,0.0,356115.56,143761.7,0.0,59.63,264029.03,264.35,10.75,192353.86,8509.15,142478.94,10333.38,59143.1,58628.38,1538.64,7687.06,1607.83,1141.81,1141.81,8156.21,-18296.42,-13044.6,161814.0,7137.0,6.36万,0.0,,,8.91,,0.010㈡,1.24,0.0,0.07,0.07,40.37,          0.79㈡,0.87,,1.93,160458549.025,,46360.1762,
112,000513,丽珠集团,18.53,17.15,12.11,6.78,4.98,90.27,30.97,0.0,0.0,中成药,广东,0.0,53.35,0.0,0.0,,0.0,0.0,,25010.56,133.43,        133.43亿,1.06,0.0,,,20150827.0,19931028.0,39569.69,0.0,14559.13,793924.44,423820.31,39514.92,41.64,363950.78,293179.78,26191.77,321159.22,43401.05,95996.8,123846.2,311540.38,120960.47,37736.95,347.17,44956.9,37250.3,34084.32,301835.94,23385.11,10553.96,14773.0,16930.0,90.32万,0.0,,,53.35,,0.861㈡,10.71,0.0,1.1,7.63,53.38,          8.04㈡,61.17,,10.94,24587839.9068,,4132.3271,
113,000514,渝 开 发,-62.54,-175.3,-30.95,15.86,1.84,-33.84,,72983552.0,0.61,区域地产,重庆,12.21,6.01,61705.0,59736.0,1.03,37.0,4858.0,,84377.09,50.63,         50.63亿,-1.22,2446.0,50.0,0.0006,20150829.0,19930712.0,84377.09,0.0,0.0,772408.06,275890.31,53584.78,57.34,535427.25,153058.02,41081.9,277698.41,118617.51,364237.53,5389.33,31926.08,29579.38,-9880.92,-106.81,-9908.5,-9615.67,-5709.31,55260.35,-14961.57,-19041.63,55864.0,15104.0,9.06万,1.44,0.5,5.6,6.14,6.35,-0.068㈡,3.27,0.0,1.41,0.65,35.72,         -2.07㈡,7.35,5.7,-17.88,,4402725.942,,288.591
114,000516,国际医学,3.91,13.69,9.95,5.02,3.16,170.6,32.44,426912064.0,0.87,百货,陕西,12.73,13.43,158424.0,159383.0,0.99,402.0,631.0,,70428.36,91.13,        102.02亿,-6.38,3692.0,86.0,0.0012,20150801.0,19930809.0,78841.96,0.0,0.0,498930.56,322446.41,665.92,35.24,259177.91,147552.36,26800.85,164735.13,144866.3,4000.15,4481.75,203407.06,163021.36,20232.85,3799.43,20379.98,15721.2,15723.07,86017.06,5980.02,110377.01,75128.0,9374.0,12.13万,4.51,-0.46,12.72,13.98,14.5,0.210㈡,4.09,0.0,1.84,1.09,64.63,          4.88㈡,19.85,13.0,7.73,16185307.3664,6486097.28,2956.2572,1184.69
115,000517,荣安地产,-88.98,-89.89,10.34,43.73,3.47,1927.02,285.2,265271024.0,1.39,区域地产,浙江,9.59,12.12,102789.0,116167.0,0.88,0.0,4486.0,,101181.82,118.69,        124.49亿,-8.92,2627.0,83.0,0.0008,20150901.0,19930806.0,106130.75,0.0,0.0,655976.25,358572.41,0.0,45.34,582400.94,617.0,119.04,186709.02,21894.96,503525.09,2442.55,28465.55,17755.67,2942.36,-161.5,2975.46,2182.56,2182.56,223624.25,646.03,7770.5,25082.0,40340.0,47.32万,2.16,0.0,11.73,13.03,12.98,0.021㈡,3.38,0.0,0.21,2.11,54.66,          0.61㈡,37.62,11.73,7.67,187084426.5,7694601.4125,33850.388,1392.2337
116,000518,四环生物,-17.53,-82.08,4.02,40.54,6.43,-26.32,537.81,172762096.0,0.68,生物制药,江苏,11.71,4.31,208514.0,192778.0,1.08,551.0,3200.0,,102953.57,44.06,         44.07亿,-2.54,3559.0,113.0,0.0011,20150819.0,19930908.0,102955.63,0.0,0.0,84789.25,68516.43,0.0,19.19,39677.55,23496.53,9829.67,11907.32,2531.88,16428.5,10082.71,10869.9,4009.4,437.03,248.11,540.15,224.6,409.67,-40844.46,-16742.13,-1659.73,178062.0,5782.0,2.47万,3.9,-0.46,4.06,4.44,4.58,0.004㈡,0.67,0.0,0.02,-0.4,80.81,          0.60㈡,63.11,4.12,3.77,45600506.5425,349331.71,23695.9086,181.5272
117,000519,江南红箭,-19.02,-25.02,21.78,24.12,4.7,-188.47,66.67,0.0,0.0,机械基件,湖南,0.0,18.57,0.0,0.0,,0.0,0.0,,45795.89,85.04,        191.87亿,1.06,0.0,,,20150824.0,19931008.0,103322.4,0.0,0.0,494319.06,408183.22,492.03,17.33,239883.8,150165.92,17001.89,78400.0,131656.69,129606.61,56437.2,79534.74,50236.67,17322.95,424.01,17869.67,14339.77,14388.86,196835.66,-10180.49,-20355.61,37096.0,12345.0,22.93万,0.0,,,18.57,,0.139㈡,3.95,0.0,1.27,1.91,82.57,          3.53㈡,36.84,,18.09,32956251.7302,,5669.6168,
118,000520,长航凤凰,-24.8,-41.76,1.96,6.46,10.54,541.39,11.79,0.0,0.0,水运,湖北,0.0,2.53,0.0,0.0,,0.0,0.0,,101208.34,25.61,         25.61亿,1.06,0.0,,,20150829.0,19931025.0,101208.34,0.0,0.0,59625.95,24294.24,0.0,59.26,45803.0,11391.7,0.0,28212.21,195886.7,1882.98,18395.57,39624.62,34404.18,775.55,-73.12,11108.3,10908.92,10857.67,-298049.19,472.96,1403.25,77148.0,13119.0,3.32万,0.0,,,2.53,,0.107㈡,0.24,0.0,1.94,-2.94,40.74,         44.69㈡,13.17,,27.4,702989.9505,,301.9419,
119,000521,美菱电器,1.3,-0.46,2.61,0.71,1.29,13.23,14.35,78738416.0,0.77,家用电器,安徽,7.69,5.94,72364.0,60099.0,1.2,157.0,1588.0,,59296.64,35.28,         45.44亿,0.56,2145.0,62.0,0.001,20150812.0,19931018.0,76373.92,16219.95,0.0,1046729.19,352695.31,2398.99,66.08,827131.19,125095.45,57080.31,635541.56,145900.09,154757.48,199330.88,642691.75,508424.5,16801.45,-548.43,17355.5,15904.27,15836.97,94799.86,34341.09,11375.92,65613.0,9037.0,5.38万,2.23,-0.33,5.68,5.98,6.14,0.207㈡,4.62,0.0,1.91,1.24,33.69,          4.49㈡,20.89,5.72,2.46,15020563.8765,5987290.9668,506.268,201.8016
120,000523,广州浪奇,44.9,3.74,0.44,1.7,4.89,-496.5,193.06,347043872.0,0.91,日用化工,广东,15.26,12.35,148413.0,132674.0,1.12,259.0,879.0,,44496.21,52.33,         52.35亿,-7.85,3982.0,71.0,0.0016,20150813.0,19931108.0,44516.35,0.0,0.0,324205.25,107077.77,692.77,66.76,238214.2,44396.95,5611.0,211632.27,44417.73,61878.96,90243.0,308635.03,296271.66,1368.91,-454.5,1379.25,1015.21,1355.81,13250.67,-1054.41,14757.36,32961.0,13500.0,15.88万,6.32,-0.16,11.62,12.91,13.59,0.030㈡,2.41,0.0,1.0,0.3,33.03,          1.27㈡,4.01,12.0,0.44,62591065.565,3890463.0,10102.8298,627.96
121,000524,岭南控股,5.8,46.1,19.28,25.4,6.03,223.37,78.73,124301048.0,0.69,酒店餐饮,广东,15.89,14.27,45705.0,41431.0,1.1,7.0,476.0,,26967.16,37.08,         37.08亿,-3.92,2530.0,34.0,0.0013,20150816.0,19931118.0,26967.38,0.0,0.0,84377.36,61472.51,0.0,27.15,10882.17,34846.28,3149.09,7298.0,20164.96,533.9,2107.71,14597.42,5792.87,2814.84,651.35,2832.45,2354.75,2354.75,113.66,1660.05,-1825.31,19511.0,13822.0,19.00万,3.23,-0.29,13.05,14.47,15.35,0.087㈡,2.28,0.0,0.75,0.0,72.85,          3.83㈡,60.32,13.38,16.13,6643029.5528,1128969.0768,2919.3084,496.1304
122,000525,红 太 阳,0.2,-38.99,5.34,2.13,1.81,12.58,20.09,83896768.0,0.71,农药化肥,江苏,11.4,13.38,36657.0,26023.0,1.41,131.0,573.0,,50698.3,70.52,         70.56亿,6.12,1309.0,48.0,0.0009,20150731.0,19931028.0,50724.67,0.0,0.0,824670.88,389970.72,323.75,52.67,347880.19,259125.84,35297.44,422734.75,197916.7,134031.36,78962.93,331235.53,288578.84,17673.2,5286.37,20665.77,17714.74,17559.17,124917.13,56073.21,-12261.55,15375.0,32975.0,45.87万,1.24,0.5,12.4,13.24,13.91,0.346㈡,7.69,0.0,3.9,2.46,47.29,          4.50㈡,12.88,12.6,5.3,16567637.9792,10390853.088,1416.7468,888.552
123,000526,银润投资,130.28,277.9,29.18,276.32,21.84,1174.06,801.77,474293856.0,0.69,房产服务,福建,15.34,38.15,62267.0,62050.0,1.0,2.0,2141.0,,9619.5,34.63,         34.63亿,-4.2,3256.0,38.0,0.004,20150829.0,19931101.0,9619.5,0.0,0.0,20077.4,15857.1,125.96,20.39,1553.54,8100.97,0.0,4060.43,5808.39,0.0,955.67,1253.25,451.93,365.66,0.0,364.75,220.28,215.96,-29.87,294.96,6.51,6251.0,15389.0,55.40万,12.92,-2.17,35.1,38.0,40.93,0.022㈡,1.65,0.0,0.6,0.0,78.98,          1.36㈡,63.94,35.98,17.23,16097456.998,722384.852,27765.2951,1245.9874
124,000528,柳    工,-34.64,-45.88,2.38,2.44,1.0,-12.23,51.91,243331376.0,0.98,工程机械,广西,9.99,7.84,157261.0,153250.0,1.03,201.0,3940.0,,112508.75,90.01,         90.02亿,3.49,2791.0,111.0,0.001,20150827.0,19931118.0,112524.21,0.0,0.0,1965533.75,897417.5,293.45,54.33,1332249.38,247018.45,67874.46,688711.19,352070.84,316773.84,352641.59,368998.0,276659.31,8787.0,-1687.05,15457.02,8660.53,8670.32,374342.19,-73608.56,-71208.65,107380.0,10478.0,8.38万,2.76,-0.12,7.31,7.81,8.09,0.077㈡,7.98,0.0,3.13,3.33,45.66,          0.97㈡,25.02,7.55,2.35,102030856.962,14839779.8125,4672.4191,679.5755
125,000529,广弘控股,11.5,6.71,4.97,7.85,7.45,66.88,96.06,0.0,0.0,食品,广东,0.0,14.11,0.0,0.0,,0.0,0.0,,56719.78,80.03,         82.37亿,1.06,0.0,,,20150822.0,19931118.0,58379.03,0.0,0.0,162672.13,110601.02,1121.55,31.32,105428.15,17595.84,11692.76,50665.32,57475.0,17800.35,3466.03,104945.32,92541.3,5212.33,524.2,6256.8,4250.76,4287.56,-9037.87,12316.16,8058.99,42566.0,13325.0,18.80万,0.0,,,14.11,,0.073㈡,1.89,0.0,0.98,-0.15,67.99,          3.88㈡,11.82,,4.09,15626284.8078,,7687.6818,
126,000530,大冷股份,-8.15,-1.5,9.5,6.43,1.58,-35.03,34.93,77973064.0,0.67,机械基件,辽宁,13.51,13.04,29450.0,30328.0,0.97,378.0,63.0,,21579.05,27.41,         45.74亿,-3.59,1897.0,32.0,0.0015,20150821.0,19931208.0,36016.5,11500.0,0.0,412211.41,289176.34,8808.42,27.71,139884.81,39917.98,15190.2,94151.38,63344.8,29245.59,56671.0,71174.03,56234.73,6761.06,4839.3,7037.47,6468.31,6547.76,47424.2,-13058.99,-14521.11,31725.0,6802.0,8.64万,2.77,-0.39,12.3,13.32,14.1,0.182㈡,8.03,0.0,1.76,1.32,70.15,          2.26㈡,20.99,12.48,9.2,14398544.5513,5144398.3968,957.4313,342.0768
127,000531,穗恒运Ａ,-58.37,-21.34,31.03,4.47,1.56,61.81,9.4,90091192.0,0.57,火力发电,广东,8.05,7.69,60385.0,56783.0,1.06,118.0,1139.0,,68508.13,52.07,         52.07亿,-0.24,1996.0,59.0,0.0009,20150812.0,19940106.0,68508.28,0.0,0.0,764432.06,334524.84,29283.39,52.41,227261.84,305551.44,8257.15,245965.2,89953.59,59770.19,22037.17,116383.75,77291.67,36109.01,14777.11,36151.55,30664.86,27682.73,140000.63,8423.67,-28958.9,35918.0,19073.0,14.50万,1.71,-0.65,7.33,7.7,7.95,0.404㈡,4.88,0.0,1.31,2.04,43.76,          8.28㈡,33.59,7.44,23.79,7185661.364,5687374.5264,489.458,387.4008
128,000532,力合股份,-20.89,16.24,51.87,51.71,5.85,705.21,120.77,168284192.0,1.38,元器件,广东,11.87,12.31,84189.0,52476.0,1.6,0.0,2429.0,,34293.08,40.29,         40.50亿,-8.97,2327.0,59.0,0.0017,20150829.0,19940103.0,34470.83,0.0,0.0,117317.26,69236.15,21042.06,23.05,47798.73,16914.23,12820.28,20296.6,2717.67,8413.71,5443.16,7832.38,4457.71,4062.48,3554.93,4136.96,2823.95,1676.82,24143.01,574.34,5306.98,28365.0,12090.0,14.21万,3.99,0.0,11.75,13.06,13.3,0.049㈡,2.01,0.0,0.08,0.7,59.02,          2.42㈡,43.09,12.08,21.41,14168405.4902,1417192.5008,4865.8233,486.7032
129,000533,万 家 乐,4.19,42.94,7.28,2.24,3.04,14.05,23.32,68902536.0,0.64,家用电器,广东,9.58,6.04,58457.0,55573.0,1.05,450.0,442.0,,68490.24,40.48,         40.83亿,-3.0,2234.0,51.0,0.0007,20150816.0,19940103.0,69081.6,0.0,0.0,385147.63,134375.31,0.0,65.11,286727.69,18243.76,44113.4,144441.41,5828.1,52017.6,113834.22,182257.34,122940.22,13271.12,3967.38,13811.82,10509.03,8753.37,51557.28,29058.4,-4323.85,66550.0,10292.0,6.08万,1.66,-0.16,5.78,6.16,6.37,0.127㈡,1.95,0.0,0.08,0.75,34.89,          6.51㈡,32.55,5.95,4.8,8981642.7316,2291628.3985,943.9936,240.856
130,000534,万泽股份,1.82,-19.41,22.18,17.13,3.64,640.65,58.05,0.0,0.0,区域地产,深圳,0.0,9.45,0.0,0.0,,0.0,0.0,,49104.12,46.4,         46.47亿,1.06,0.0,,,20150828.0,19940110.0,49178.51,0.0,0.0,374486.38,127630.6,35594.09,56.41,338468.41,29225.6,114.6,170357.23,34207.12,251193.3,13379.9,27128.52,10974.7,6018.18,46.13,6031.76,3604.9,4002.76,32519.22,725.42,-3992.81,25642.0,19150.0,18.10万,0.0,,,9.45,,0.081㈡,2.6,0.0,0.7,0.66,34.08,          3.14㈡,59.55,,14.75,21738934.359,,2693.52,
131,000536,华映科技,-17.82,-78.57,3.36,2.75,2.74,4.95,109.93,199427200.0,0.99,元器件,福建,12.77,10.38,109645.0,82514.0,1.33,1400.0,259.0,,25086.58,24.79,         76.98亿,-7.54,2760.0,70.0,0.0028,20150812.0,19931126.0,77910.28,0.0,0.0,1015181.88,280862.91,125932.4,59.93,633725.44,198768.67,8120.17,577162.63,81311.74,28030.41,181345.55,279505.78,249463.2,9400.0,6.92,11579.62,7391.87,3501.23,57883.41,155506.25,-838.99,34957.0,7176.0,7.09万,7.66,-1.19,9.88,10.81,11.26,0.045㈡,3.6,0.0,1.04,0.74,27.67,          1.25㈡,10.75,10.01,1.25,111598944.068,10161970.6188,2725.1647,248.1479
132,000537,广宇发展,9.68,-50.75,28.54,4.94,1.75,-4.93,18.73,174850464.0,0.71,区域地产,天津,10.73,6.74,134064.0,125290.0,1.07,366.0,6295.0,,51271.33,33.22,         33.22亿,-6.24,2874.0,90.0,0.0018,20150715.0,19931210.0,51271.76,0.0,0.0,508788.94,189862.13,75529.96,47.84,460979.19,126.55,0.0,236034.88,8667.42,377486.13,0.51,67310.05,29768.55,19208.52,1272.62,19221.74,15528.38,8868.82,123174.97,-67388.65,11297.78,41197.0,12445.0,8.06万,5.06,-0.3,6.4,6.99,7.15,0.173㈡,3.7,0.0,0.17,2.4,37.32,          4.67㈡,55.77,6.62,13.18,9529616.8462,3368182.7828,622.2106,219.9164
133,000538,云南白药,10.61,11.07,15.08,7.79,5.98,38.28,29.61,865023680.0,1.78,中成药,云南,7.69,70.71,83276.0,39056.0,2.13,45330.0,66.0,,104135.47,743.32,        743.35亿,0.82,2727.0,45.0,0.0004,20150820.0,19931215.0,104139.96,0.0,0.0,1768386.38,1243553.63,10665.37,29.08,1535739.38,161443.86,24448.0,405065.56,124721.57,509671.69,99436.92,954257.5,662219.94,143861.2,7323.11,146567.77,125190.61,125530.8,947605.19,194174.73,117768.2,42482.0,24513.0,174.97万,1.17,0.07,66.0,71.55,71.5,1.205㈡,11.94,0.0,1.2,9.1,70.32,         10.09㈡,30.6,66.0,13.15,52361920.7118,116713501.08,22009.7052,49059.12
134,000539,粤电力Ａ,-13.76,4.65,22.9,3.29,1.9,7.45,12.34,780531904.0,2.06,火力发电,广东,16.87,7.73,598102.0,411862.0,1.45,217024.0,0.0,,255390.92,206.61,        424.75亿,11.13,3840.0,263.0,0.001,20150829.0,19931126.0,525028.38,79840.79,0.0,7251976.0,2235025.75,619025.63,60.64,1289255.75,3772924.75,157782.72,1676793.5,499843.31,157123.75,267180.72,1291155.38,918172.19,295638.94,51997.05,297652.5,239813.63,172099.5,592259.69,570218.06,198242.31,106697.0,23936.0,19.36万,3.95,0.24,6.85,7.35,8.09,0.328㈡,4.26,0.0,0.95,1.13,30.82,          7.70㈡,28.89,6.91,13.33,89489383.84,50111154.16,2549.5674,1427.6751
135,000540,中天城投,54.83,48.23,19.7,3.93,3.75,-9.01,11.06,0.0,0.0,区域地产,贵州,0.0,7.34,0.0,0.0,,0.0,0.0,,321361.63,235.88,        316.04亿,1.06,0.0,,,20150828.0,19940202.0,430569.38,0.0,0.0,4324834.5,842788.63,33247.19,79.74,3791628.75,341914.34,15270.86,2574612.75,68413.5,3038327.75,80647.63,804400.81,531831.13,158461.19,16.54,158780.42,142647.0,142899.13,308191.66,-350680.88,-63781.57,272808.0,11780.0,8.65万,0.0,,,7.34,,0.332㈡,1.96,0.0,0.16,0.72,19.49,         16.96㈡,33.88,,17.76,47832669.57,,2608.8328,
136,000541,佛山照明,-1.21,-46.94,8.95,9.66,3.4,148.26,73.4,0.0,0.0,家用电器,广东,0.0,11.57,0.0,0.0,,0.0,0.0,,97493.5,112.8,        147.19亿,1.06,0.0,,,20150828.0,19931123.0,127213.28,29278.73,0.0,531442.75,432539.69,4617.1,17.74,228753.63,40453.28,18404.01,65556.53,29632.35,60481.76,43255.44,152436.27,116604.35,13644.07,2070.9,12444.92,9651.55,10025.87,66278.52,9927.42,-11554.8,99244.0,9824.0,11.37万,0.0,,,11.57,,0.079㈡,3.4,0.0,0.23,0.52,81.39,          2.32㈡,23.51,,6.58,39007897.85,,8279.52,
137,000543,皖能电力,-13.0,49.2,25.03,2.24,1.34,7.61,9.19,434907936.0,1.15,火力发电,安徽,10.26,12.18,179334.0,177643.0,1.01,10.0,8561.0,,102515.75,127.63,        131.12亿,0.9,2971.0,120.0,0.0012,20150825.0,19931220.0,105317.4,0.0,0.0,2364895.5,979916.38,367623.19,43.02,312005.28,1348497.38,56224.67,471380.81,253236.84,22876.6,103254.53,585399.5,434807.09,146524.13,23098.13,150275.72,121588.75,71360.84,273472.03,172310.92,63635.48,55359.0,18518.0,23.06万,3.48,-0.63,11.5,12.47,12.78,0.678㈡,9.3,0.0,2.4,2.6,41.44,          7.28㈡,25.72,11.67,12.19,21733389.645,27598330.485,1172.9197,1489.4421
138,000544,中原环保,25.63,3.69,13.71,10.65,3.7,-69.38,45.79,56378180.0,0.73,环境保护,河南,10.13,12.73,23071.0,21222.0,1.09,999.0,318.0,,26945.98,33.84,         33.84亿,0.51,1799.0,25.0,0.0009,20150807.0,19931208.0,26945.98,0.0,0.0,233505.84,91495.45,1655.82,60.11,61708.66,65597.46,88200.85,106111.52,47222.62,349.45,40924.28,31790.38,21414.67,4357.51,900.0,4658.35,3812.56,3695.18,14527.35,-4878.31,775.95,29602.0,9103.0,11.43万,1.64,-0.31,12.0,12.63,13.28,0.137㈡,3.4,0.0,1.75,0.54,39.18,          4.04㈡,32.64,12.07,11.62,10692232.4136,2818415.4888,1549.5336,408.4488
139,000545,金浦钛业,4.26,204.87,17.27,26.27,6.23,774.92,80.88,0.0,0.0,化工原料,吉林,0.0,10.67,0.0,0.0,,0.0,0.0,,40657.14,43.38,        105.30亿,1.06,0.0,,,20150826.0,19931215.0,98683.31,0.0,0.0,239650.95,168904.98,0.0,29.52,122257.76,54183.51,5113.52,58569.01,41460.78,9470.99,5742.68,40084.65,33601.71,6921.5,4930.66,7693.92,6509.64,6509.64,71909.93,1358.79,-6961.16,18745.0,21690.0,23.14万,0.0,,,10.67,,0.066㈡,1.71,0.0,0.42,0.73,70.48,          3.85㈡,16.17,,16.24,19382968.836,,3508.5744,
140,000546,金圆股份,-15.94,-86.3,-0.19,8.23,2.66,128.34,190.5,67800704.0,0.73,水泥,吉林,13.78,7.37,47083.0,44971.0,1.05,6.0,2855.0,,16937.44,12.35,         43.63亿,0.51,1774.0,52.0,0.0031,20150829.0,19931215.0,59843.94,0.0,0.0,407613.5,163923.61,7840.6,57.86,59568.08,296944.34,14192.54,189312.55,61758.38,26451.35,4990.51,53002.61,46559.85,-102.66,2932.95,272.64,1098.93,1145.07,35828.28,3399.25,-3737.51,18438.0,9186.0,6.70万,5.43,0.0,6.78,7.33,7.79,0.019㈡,2.74,0.0,1.03,0.6,40.22,          0.70㈡,12.16,6.92,2.16,77650371.75,2820685.42,2352.675,85.462
141,000547,航天发展,10.65,102.93,67.18,67.66,5.89,226.94,68.11,601025792.0,0.87,通信设备,福建,10.84,14.69,219984.0,189236.0,1.16,5790.0,342.0,,83483.88,123.39,        211.30亿,-5.75,3942.0,104.0,0.0012,20150820.0,19931130.0,142962.89,0.0,0.0,419927.69,237895.66,16761.92,39.36,328291.41,18404.78,9315.76,109467.77,50315.6,60475.0,35909.53,31230.76,19772.06,20980.82,25831.85,21712.52,16570.32,15512.0,72515.74,9310.65,108035.61,69900.0,11943.0,17.65万,4.9,-0.2,14.27,15.86,15.99,0.109㈡,2.51,2.51,0.35,0.51,56.65,          6.52㈡,36.69,14.37,49.67,28601274.9659,6034360.9053,8404.0929,1773.1143
142,000548,湖南投资,-20.53,-56.57,2.77,44.96,2.58,36.38,434.32,292105376.0,0.72,路桥,湖南,14.1,7.99,186931.0,178524.0,1.05,0.0,14195.0,,49920.1,37.94,         37.94亿,-8.89,3803.0,96.0,0.0019,20150829.0,19931220.0,49921.57,0.0,0.0,201881.56,146777.59,2043.85,26.28,133144.56,24544.38,32717.08,53008.63,47826.8,49874.82,2025.23,8438.25,3463.51,234.13,-48.13,298.79,-76.6,436.78,38942.98,10429.67,5967.06,69744.0,7158.0,5.44万,7.32,0.0,7.6,8.44,8.79,0.009㈡,2.94,0.0,0.96,0.78,72.7,          0.30㈡,58.95,7.6,5.18,87681199.1392,1534299.856,16478.1008,288.344
143,000550,江铃汽车,-2.33,-7.11,8.88,1.81,2.0,94.21,10.04,193749472.0,1.98,汽车整车,江西,16.08,24.17,40311.0,39853.0,1.01,1660.0,0.0,,51742.8,130.24,        217.27亿,11.07,2101.0,38.0,0.0007,20150828.0,19931201.0,86321.39,34400.0,0.0,1955978.63,1084264.38,0.0,44.57,1251594.75,443645.0,63004.25,844178.0,83944.25,158247.13,84853.25,1198932.75,900981.63,106428.65,194.22,126745.61,108153.22,108153.22,871106.19,23062.11,-25470.14,29331.0,17641.0,44.40万,1.55,0.23,21.49,22.88,25.17,1.253㈡,12.56,0.0,0.97,10.09,55.43,          9.97㈡,24.85,22.6,9.02,19638025.4452,44205117.038,1307.6096,2943.424
