city,state,population,5_years_or_less,5-9_years,10-14_years,15-19_years,20-24_years,25-34_years,35-44_years,45-54_years,55-59_years,60-64_years,65-74_years,75-84_years,85_years_or_more,households,"$9,999_or_less","$10,000-$14,999","$15,000-$24,999","$25,000-$34,999","$35,000-$49,999","$50,000-$64,999","$65,000-$74,999","$75,000-$99,999","$100,000_or_more",median_household_income,mean_household_income
Brackettville,TX,3111,91,227,244,135,207,464,266,484,373,191,247,114,68,1148,5.1,12.2,20.1,19.5,21.4,7.8,4.1,6.6,3.1,20441,20441
Bradford,PA,11517,722,557,619,1108,1144,1449,1296,1563,791,674,841,415,338,5628,1.1,5.2,17.2,23.8,31.5,10.9,4.2,5.1,1.0,21852,21852
Brady,TX,5455,342,551,327,309,179,827,670,657,256,396,538,305,98,2640,2.9,7.0,14.2,19.9,28.8,11.4,6.8,6.9,2.0,24316,24316
Braidwood--Coal City--Wilmington,IL,22589,1416,1676,1636,1607,1198,2942,3048,3475,1531,1554,1458,750,298,12146,1.1,1.9,14.0,13.3,21.3,19.2,8.2,12.7,8.2,32397,32397
Brainerd,MN,20735,1350,1415,1620,1349,1894,2886,2525,2529,1175,1015,1271,957,749,10945,1.4,7.4,18.6,16.9,23.6,13.4,7.2,5.8,5.6,24031,24031
Brandon,SD,8695,744,789,944,653,382,947,1455,1213,440,295,455,237,141,4955,1.7,1.0,10.3,19.3,31.0,17.0,4.9,8.8,6.0,35147,35147
Branson,MO,23831,1379,1218,1518,1478,2697,2624,2612,2813,1330,1652,2778,1244,488,12770,5.6,9.8,25.0,21.1,18.1,6.1,3.4,3.7,7.2,15862,15862
Brattleboro,VT,9737,571,437,489,543,761,1454,1092,1326,684,638,970,506,266,5623,4.8,5.1,14.0,20.5,24.0,11.3,8.1,7.1,5.0,26539,26539
Brawley,CA,25710,2404,2333,2112,2105,1520,3293,3041,3343,1298,1104,1536,1201,420,10090,2.2,3.2,12.3,19.7,23.8,17.8,3.9,7.6,9.6,26982,26982
Brazoria,TX,3640,331,241,307,275,245,441,433,463,279,158,309,127,31,1797,2.3,3.3,15.3,19.3,27.0,9.1,6.3,15.5,2.0,34281,34281
Breaux Bridge,LA,17839,1022,1484,1184,1083,1174,2332,2434,2631,1357,1066,1203,655,214,8289,1.3,4.5,18.2,19.4,19.3,14.0,5.4,7.0,10.8,29567,29567
Breckenridge,CO,7692,360,386,471,251,838,1952,1186,816,242,356,697,111,26,5272,2.0,2.5,20.2,16.2,21.1,19.7,6.2,8.6,3.4,28013,28013
Breckenridge,TX,5706,458,597,322,388,380,567,702,681,266,348,530,340,127,2572,5.0,10.8,15.2,19.2,21.5,17.8,0.3,6.2,3.9,22424,22424
Breese,IL,5809,389,330,370,376,343,880,634,827,415,338,381,358,168,3519,0.8,2.2,11.8,20.9,22.7,15.6,5.4,14.7,5.8,32113,32113
Bremen,GA,6085,460,715,366,280,541,715,992,606,206,394,395,245,170,2635,3.2,6.5,22.6,11.8,21.2,10.7,7.7,8.9,7.4,30238,30238
Bremen,IN,4685,419,367,253,357,353,719,474,550,283,261,346,119,184,2329,3.2,5.4,13.0,27.8,18.8,19.4,2.8,4.0,5.6,28830,28830
Bremerton,WA,202863,11999,11843,11625,12733,18497,28634,23425,27190,14233,12607,17937,8385,3755,104888,1.5,2.6,14.4,15.3,18.4,15.2,7.9,13.0,11.6,32993,32993
Brenham,TX,15430,883,880,995,1912,1342,1489,1757,1770,688,616,1661,861,576,7652,5.6,9.7,21.6,17.6,21.7,9.3,1.1,7.0,6.4,20704,20704
Brent,AL,5280,233,273,285,370,183,1069,966,808,230,206,358,183,116,1489,4.2,15.4,27.0,26.7,11.1,11.5,0.0,3.6,0.5,17896,17896
Brevard,NC,13265,500,561,782,1056,956,1339,1263,1726,765,1015,1508,1181,613,6677,1.2,7.0,21.0,24.9,21.5,15.3,3.5,2.5,3.0,20853,20853
Brewton,AL,6967,559,434,423,451,373,910,679,1126,356,340,681,350,285,2432,2.7,11.9,21.2,18.4,19.3,16.5,3.6,3.1,3.4,22047,22047
Bridgeport,TX,5966,368,355,650,381,376,877,973,710,355,426,323,101,71,2562,2.9,9.2,16.0,22.7,17.9,18.5,5.2,4.0,3.6,29342,29342
Bridgeport--Stamford,CT,943465,54311,61778,65457,66702,54819,110024,125536,147684,66085,53980,71455,42228,23406,506149,1.3,2.0,8.1,10.6,15.5,13.7,7.3,13.5,28.1,40994,40994
Bridgeton,NJ,35550,3005,3083,2388,2208,2803,6548,5043,4015,1683,1255,2124,910,485,15862,2.7,5.6,19.5,20.7,20.9,13.7,5.6,6.9,4.4,21852,21852
Bridgeville,DE,3140,116,329,164,137,221,410,171,456,158,259,433,203,83,1582,3.0,2.6,27.9,20.5,25.1,12.5,1.7,4.0,2.7,20352,20352
Brillion,WI,3063,269,212,307,253,132,399,407,339,154,138,196,180,77,1523,1.1,1.5,13.7,24.3,30.2,18.8,1.7,4.8,3.8,32489,32489
Brinkley,AR,2585,198,188,149,67,196,291,336,271,203,209,232,212,33,956,4.7,8.7,21.5,16.8,19.7,17.7,1.6,2.2,7.2,15786,15786
Bristol--Bristol,TN,68474,3368,3652,3996,3970,4044,8036,8913,9419,4784,5230,7378,3691,1993,32736,2.3,6.1,21.5,22.1,19.4,11.6,4.7,6.2,6.0,24460,24460
Bristow,OK,4119,310,370,282,170,337,586,392,439,174,293,397,260,109,1611,4.4,13.7,13.6,28.6,18.3,12.4,1.3,2.9,4.7,21940,21940
Broadway,VA,6377,519,429,437,429,441,880,797,831,383,225,591,293,122,3515,2.4,4.1,20.1,21.6,31.2,12.6,2.0,2.8,3.2,28256,28256
Brockport,NY,21053,905,1162,1315,2629,3627,2212,2107,2538,1219,979,1377,738,245,11831,2.8,2.1,11.4,20.6,23.0,18.8,7.2,6.5,7.5,19047,19047
Brockway,PA,2780,145,194,136,131,157,371,354,392,172,135,213,240,140,1308,1.3,6.5,23.0,16.0,22.2,19.5,4.8,4.5,2.3,25377,25377
Brodhead,WI,3530,209,182,299,199,223,353,489,424,226,229,297,234,166,1993,1.4,1.9,13.1,27.2,35.0,15.3,2.8,1.3,2.0,25295,25295
Broken Bow,NE,3464,201,251,309,266,250,424,372,388,224,173,225,261,120,2019,4.1,2.5,23.9,21.8,24.0,13.4,4.1,4.5,1.6,25102,25102
Broken Bow,OK,4042,316,264,232,501,272,447,528,563,254,89,279,233,64,1711,3.7,7.9,41.9,22.3,11.6,1.7,1.6,5.9,3.3,20092,20092
Brookfield,MO,4178,237,347,260,267,137,534,414,445,355,289,341,340,212,1702,2.1,5.6,30.8,25.9,20.3,6.8,4.5,2.4,1.5,22327,22327
Brookhaven,MS,11009,911,980,813,814,889,1228,1248,1374,588,669,841,396,258,4040,6.6,7.7,28.2,17.6,14.6,7.2,4.2,9.1,4.9,23726,23726
Brookings,OR,10247,235,371,397,396,628,822,906,1312,642,1052,1914,1068,504,4811,1.7,9.1,23.1,14.4,14.9,17.2,5.0,8.0,6.7,20300,20300
Brookings,SD,23410,1136,1125,1112,3221,5838,3225,2111,1856,902,958,956,622,348,16531,3.7,5.3,22.1,18.6,22.6,12.1,4.3,7.4,3.8,13651,13651
Brooklyn,MI,2929,206,197,150,168,171,256,278,402,344,141,378,160,78,1414,1.8,3.9,14.9,6.2,20.9,17.4,12.6,10.0,12.3,35625,35625
Brookshire,TX,5137,404,475,300,650,401,553,794,719,221,185,253,138,44,2020,3.6,3.2,36.4,23.3,15.1,13.3,1.9,1.0,2.0,21442,21442
Brookville,PA,4587,184,281,223,279,286,526,401,521,411,322,466,408,279,2341,1.2,6.6,18.9,16.0,25.1,13.6,5.3,9.5,3.8,25030,25030
Brownfield,TX,9636,738,770,611,858,596,1300,1038,1295,639,368,746,533,144,4382,0.5,7.7,28.6,18.4,22.0,10.3,2.4,3.5,6.6,22444,22444
Browning,MT,4694,489,514,388,304,419,660,353,729,215,201,281,100,41,1538,5.0,0.7,29.7,28.6,18.4,11.5,2.0,4.0,0.0,17688,17688
Browns Mills--Fort Dix,NJ,38701,2773,2456,2412,2130,3627,6590,5904,5234,2276,1825,2251,1069,154,18867,2.7,3.8,11.8,17.4,23.1,16.2,8.0,9.7,7.4,31889,31889
Brownstown,IN,3183,192,167,241,203,256,544,310,436,215,104,203,181,131,1488,2.0,3.3,12.3,25.4,37.4,8.4,6.7,2.1,2.3,24069,24069
Brownsville,TN,9459,550,721,706,701,500,1289,1113,1180,696,580,849,416,158,4000,1.7,9.2,21.9,30.6,20.9,7.5,0.3,3.2,4.7,23827,23827
Brownsville,TX,225886,19850,19982,21684,20415,17769,28101,29236,25814,10361,9220,13245,7455,2754,87690,4.1,11.2,27.5,19.2,15.7,10.5,3.0,4.8,4.1,19722,19722
Brownwood,TX,22475,1598,1595,1538,1867,1759,2897,2564,2799,1588,984,1668,1036,582,10067,4.6,8.8,19.9,25.6,21.2,7.1,4.2,4.6,4.0,25324,25324
Brunswick,GA,52985,3502,3613,3844,3558,3993,6609,6814,7541,3177,3005,4261,2172,896,25988,2.4,7.9,23.1,22.5,19.4,10.2,4.4,5.2,4.9,22927,22927
Brunswick,ME,28314,1349,1508,1408,2055,2046,3470,2906,4395,1864,1738,2814,1720,1041,16043,2.3,3.2,15.2,17.1,19.4,18.7,7.9,8.8,7.4,24285,24285
Brunswick,MD,9246,747,823,698,604,507,1184,1247,1524,538,362,648,250,114,4811,2.3,1.2,8.7,13.4,18.3,20.1,7.0,14.0,15.1,41160,41160
Brush,CO,5682,742,481,270,378,319,753,537,687,217,385,334,342,237,2564,2.9,3.1,23.2,22.5,23.2,11.6,2.4,7.5,3.7,25144,25144
Bryan,OH,9681,621,573,632,728,403,1275,1166,1242,680,616,877,619,249,4534,1.7,3.2,17.7,21.6,26.2,18.1,3.3,4.7,3.5,27214,27214
Buckeye,AZ,19906,1935,2236,1499,1592,1344,3278,2595,2231,941,852,820,450,133,8412,2.4,6.6,12.6,24.6,29.6,9.4,6.0,6.2,2.7,29280,29280
Buckhannon,WV,8393,666,306,342,923,1138,1108,873,898,453,453,697,378,158,4321,6.3,8.1,17.2,17.1,20.6,14.0,4.4,4.7,7.6,16362,16362
Buckhead (Bryan County),GA,5604,281,325,626,464,302,410,1101,1006,552,149,258,71,59,3241,0.7,0.7,7.0,8.6,17.3,16.7,4.7,22.5,22.0,47917,47917
Buckner,MO,3009,179,342,208,222,110,429,389,321,253,204,205,134,13,1410,1.8,4.8,9.4,26.9,28.8,16.5,5.1,3.2,3.5,32500,32500
Bucyrus,OH,12031,589,840,643,723,490,1548,1408,1471,820,872,1350,846,431,5500,1.4,4.9,22.2,24.8,27.0,10.1,4.8,3.7,1.1,23226,23226
Buena Vista,CO,4105,145,235,251,145,261,837,557,532,242,210,440,162,88,1665,4.2,2.8,13.9,19.8,30.9,18.6,5.4,2.0,2.5,25378,25378
Buena Vista,VA,6728,411,376,398,667,736,900,720,631,496,294,619,377,103,3437,4.8,4.2,18.0,29.3,19.0,12.3,1.3,7.8,3.2,21250,21250
Buffalo,MN,16297,974,1607,1463,1142,628,2425,2280,2026,665,737,1318,564,468,8784,2.5,1.9,7.8,16.0,26.2,19.4,8.0,10.5,7.7,34641,34641
Buffalo,MO,2973,169,388,170,136,125,365,509,333,146,68,239,173,152,1091,2.2,2.3,15.7,27.5,31.6,16.6,4.0,0.0,0.0,25393,25393
Buffalo,NY,936132,51460,51277,56920,63126,71485,125081,105106,131922,69855,56858,78506,49840,24696,496360,1.6,2.8,11.6,17.8,22.9,16.6,7.3,10.1,9.4,30759,30759
Buffalo,WY,4427,406,216,178,221,323,373,429,593,435,331,484,229,209,2592,7.7,1.1,9.5,14.9,20.5,14.9,12.4,14.3,4.8,28750,28750
Buhl,ID,4244,469,289,310,138,322,676,347,578,165,174,391,226,159,2062,0.8,6.9,25.5,24.2,26.8,11.7,1.8,0.9,1.4,21573,21573
Buies Creek,NC,6020,201,395,278,866,1576,670,648,405,199,212,322,181,67,2919,15.1,5.5,27.0,19.0,18.7,6.2,3.0,2.8,2.6,10846,10846
Bullhead City,AZ,47976,2390,2480,2394,2170,2390,4536,4716,6428,4302,3559,7543,3867,1201,20199,2.2,10.5,20.2,22.5,20.6,9.3,3.7,6.4,4.6,21946,21946
Bunkie,LA,4020,458,172,347,258,281,423,352,519,327,181,352,272,78,1534,5.9,10.0,34.1,16.2,22.1,4.4,3.2,4.2,0.0,17486,17486
Buras,LA,3972,256,207,320,364,191,404,462,558,407,277,286,199,41,1745,5.2,9.7,19.7,20.6,11.9,15.2,6.8,1.9,9.0,25032,25032
Burgaw,NC,3736,98,297,229,214,207,597,441,425,307,271,283,151,216,1194,3.9,6.9,25.8,14.8,17.0,11.6,2.2,7.7,9.9,15385,15385
Burgettstown,PA,3121,156,188,187,159,131,341,340,564,316,213,265,189,72,1536,1.8,0.8,13.6,25.7,27.6,14.6,7.0,4.7,4.2,30640,30640
Burkburnett,TX,10133,926,536,830,647,338,1758,1148,1219,621,523,891,543,153,5253,1.8,3.2,19.0,17.2,21.4,22.5,7.2,2.6,5.1,29955,29955
Burley,ID,15909,1524,1405,1231,1292,1250,2121,1641,1651,1000,784,1039,631,340,7427,3.6,7.0,20.7,26.5,23.0,11.5,0.7,4.6,2.5,22693,22693
Burlington,CO,3953,266,170,228,131,169,706,580,596,233,225,305,240,104,1811,5.7,7.6,15.5,25.3,14.0,11.7,3.5,9.6,7.1,26190,26190
Burlington,IA,29561,1891,1879,2000,1812,1764,3534,3303,4253,1898,1872,2778,1722,855,14526,0.9,5.6,20.9,23.8,22.1,13.4,3.9,4.6,4.9,24296,24296
Burlington,KS,2393,169,132,107,143,136,277,261,263,196,173,260,163,113,1407,1.6,4.0,23.6,14.5,21.8,13.4,2.7,8.1,10.2,26038,26038
Burlington,NC,125218,8276,8854,7813,8957,9644,15955,16129,16158,7796,6655,10245,5822,2914,62897,2.1,5.7,17.3,21.1,21.7,13.4,4.7,7.8,6.2,26648,26648
Burlington,VT,110805,5214,5112,5294,10655,15064,16841,12690,13542,6426,5832,7464,4329,2342,71600,1.4,2.0,11.5,16.7,23.5,15.8,6.5,11.1,11.4,26740,26740
Burlington,WI,22796,1747,1493,1220,1709,1328,2484,2576,3922,1586,1334,1945,1095,357,12882,1.6,3.0,7.3,16.0,28.1,19.4,5.7,9.8,9.1,34153,34153
Burnet,TX,5222,444,208,619,371,413,661,679,708,181,339,142,293,164,2485,0.9,1.9,25.9,28.3,18.0,20.3,0.7,1.8,2.1,25479,25479
Burney,CA,2565,64,124,134,166,198,174,291,362,274,248,371,141,18,1126,11.1,0.0,18.1,26.2,17.0,20.8,1.4,1.8,3.6,23319,23319
Burns,OR,3617,248,161,236,205,251,371,489,396,250,317,445,213,35,1786,2.4,3.4,21.3,20.9,17.0,18.1,4.2,4.6,8.0,20531,20531
Burnt Store Marina,FL,2887,80,31,16,66,0,81,114,118,200,407,1229,465,80,778,2.0,6.2,4.8,4.2,22.4,17.3,4.0,7.1,32.0,22426,22426
Bushnell,FL,3698,471,161,78,139,320,492,208,319,200,168,638,412,92,1237,3.8,26.5,25.5,14.7,5.2,13.0,4.8,1.0,5.4,16546,16546
Bushnell,IL,2941,171,224,148,213,110,604,183,315,278,259,258,143,35,1630,7.1,4.2,21.3,22.2,21.8,7.2,9.5,6.2,0.7,22540,22540
Butler,IN,2790,206,185,180,245,302,316,324,433,185,59,183,98,74,1361,1.0,8.1,17.0,28.6,22.4,13.6,2.5,6.1,0.7,24899,24899
Butler,MO,3978,330,285,205,233,220,700,331,444,226,255,291,317,141,1855,8.5,7.0,29.2,17.9,20.7,8.4,1.7,3.1,3.6,19196,19196
Butler,PA,39846,2461,2349,2021,2229,2099,5287,4440,5588,3116,2733,4053,2361,1109,20301,1.5,3.7,12.5,20.1,23.2,14.4,7.0,10.1,7.4,28883,28883
Butner,NC,12654,576,872,684,980,1397,1592,1620,1970,761,775,809,439,179,5226,1.5,1.1,21.6,15.0,23.1,13.5,7.5,15.7,1.0,27423,27423
Butte-Silver Bow,MT,30701,1612,2028,1641,2110,2913,3566,3335,4229,2192,2031,2725,1518,801,16557,3.5,6.3,17.2,20.9,21.5,13.3,5.4,5.9,6.1,21941,21941
Byron,IL,7153,473,569,549,490,346,924,900,1114,534,393,456,295,110,3843,2.5,4.5,11.7,12.7,16.1,21.6,8.1,11.6,11.3,36790,36790
Byron,MN,4962,542,474,323,382,358,782,557,727,262,233,212,102,8,2967,0.9,4.0,9.1,14.1,26.0,16.0,5.2,11.5,13.1,37419,37419
Cache,OK,2611,119,247,215,207,133,297,415,419,117,101,169,143,29,1210,1.1,3.3,16.5,20.5,26.0,12.5,8.5,7.5,4.1,27346,27346
Cactus,TX,3026,352,175,253,405,407,355,426,408,52,106,77,10,0,1655,4.6,3.1,29.9,54.4,6.8,0.7,0.0,0.5,0.0,25015,25015
Cadillac,MI,11364,789,663,698,574,713,1498,1254,1441,791,784,1135,646,378,5054,3.0,4.0,22.4,24.8,24.5,10.3,3.7,2.1,5.1,23622,23622
Cadiz,KY,3106,134,317,245,190,162,219,444,320,202,206,368,258,41,1246,0.3,12.3,17.6,8.3,28.9,6.9,7.4,10.8,7.5,26622,26622
Cadiz,OH,2488,202,190,117,97,207,412,300,254,191,104,266,123,25,1219,5.8,3.1,16.2,11.5,28.8,10.4,4.1,10.8,9.2,28882,28882
Cairo,GA,9497,839,883,661,511,794,1315,1005,1351,444,421,725,362,186,3232,2.7,5.8,36.1,22.3,11.3,9.1,4.1,5.5,3.2,20647,20647
Cairo,IL,2741,198,216,187,140,232,297,270,249,210,212,306,133,91,919,1.1,4.2,50.1,11.7,16.7,9.5,3.2,1.3,2.1,17072,17072
Calais,ME,2426,121,133,133,188,106,236,236,399,162,234,194,180,104,1076,7.1,7.4,21.6,24.4,16.0,14.0,2.1,7.3,0.0,22682,22682
Caldwell,OH,5246,165,95,81,197,624,1413,712,530,275,329,356,305,164,3476,13.0,6.4,31.5,16.7,18.6,4.8,0.9,3.0,5.0,6563,6563
Caldwell,TX,4149,295,395,241,272,144,539,586,453,245,221,399,229,130,1831,0.0,6.8,16.5,30.4,16.9,16.8,1.7,3.9,7.1,29010,29010
Caledonia,MN,2732,152,200,199,155,78,368,229,324,210,202,253,226,136,1399,3.7,8.4,11.5,31.6,26.6,8.1,2.1,3.8,4.0,25259,25259
Calhoun,GA,30900,2434,2685,2121,1886,2375,4529,4493,3490,1427,1918,2170,1054,318,14645,1.5,6.6,20.0,22.2,27.3,10.8,2.9,4.6,4.1,24979,24979
California,MO,4251,360,387,341,188,285,563,500,558,156,150,334,265,164,2080,5.6,0.7,20.0,30.9,24.2,13.7,2.1,2.0,0.7,27500,27500
California City,CA,11223,852,897,607,675,1204,1336,1201,1684,794,726,808,374,65,4992,4.8,2.1,9.3,16.8,9.0,20.0,14.4,11.4,12.2,32237,32237
Calipatria,CA,3374,314,326,467,317,224,385,437,299,198,60,189,65,93,2071,6.4,3.6,18.1,20.4,22.9,12.1,5.2,5.7,5.7,23408,23408
Calistoga,CA,5267,274,343,342,296,178,414,784,953,276,287,701,304,115,2685,0.9,0.4,15.1,8.7,16.9,15.3,3.4,19.3,20.0,32664,32664
Camano,WA,6534,340,309,361,362,414,519,704,929,427,437,1006,479,247,2961,1.0,0.5,8.9,14.7,24.0,19.2,7.4,15.0,9.5,32846,32846
Camano North,WA,2293,18,18,41,91,82,108,198,375,123,267,621,238,113,1111,1.7,2.3,2.0,2.9,12.2,41.4,5.0,14.1,18.3,50421,50421
Camarillo,CA,73100,4561,4335,4822,3993,4116,9082,9049,9779,5238,4121,7095,4490,2419,38059,1.2,2.3,8.7,9.0,15.9,12.9,7.0,16.1,26.9,42324,42324
Cambria,CA,6176,155,257,205,226,245,429,469,481,331,810,1713,620,235,2705,2.8,5.2,10.9,15.2,15.3,16.9,8.0,15.6,10.1,29951,29951
Cambridge,MD,14723,1156,1058,806,781,1210,2027,1469,1819,856,958,1370,743,470,7400,1.6,4.0,16.1,20.9,22.2,15.2,7.6,7.5,4.8,26766,26766
Cambridge,MN,14645,1187,1050,948,785,940,2473,1645,2072,851,628,820,758,488,8347,1.2,2.5,11.0,23.1,32.6,14.8,3.2,7.0,4.7,29846,29846
Cambridge,OH,15000,968,913,1126,931,921,1885,1726,1852,942,1033,1470,831,402,6801,1.5,4.8,22.3,19.1,21.1,15.4,8.6,5.1,2.2,22882,22882
Cambridge,WI,2381,84,67,125,152,86,152,241,416,342,238,299,101,78,1497,2.1,3.0,8.0,14.4,21.9,29.5,5.5,9.2,6.3,37721,37721
Cambridge City,IN,3644,226,223,182,238,259,392,484,496,239,214,381,191,119,1705,1.5,4.7,23.0,25.1,22.4,11.4,6.8,3.8,1.3,25723,25723
Cambridge Springs,PA,2537,121,117,95,107,183,450,418,425,171,92,195,108,55,1406,3.3,7.9,25.3,23.2,15.2,15.2,5.0,3.3,1.5,15934,15934
Camden,AR,11089,882,739,803,659,791,1360,1065,1533,664,624,796,761,412,4494,4.2,7.0,28.0,24.4,13.3,9.4,6.6,5.2,1.9,20825,20825
Camden,ME,3719,114,67,165,186,159,338,337,412,449,297,637,316,242,1928,3.5,4.5,7.5,22.3,22.8,17.0,4.1,12.3,5.9,25739,25739
Camden,SC,14373,740,842,980,827,715,1411,1846,1920,879,958,1504,1291,460,6733,1.0,9.1,23.6,17.3,17.5,14.0,4.4,6.0,6.9,23531,23531
Camden,TN,3388,227,175,174,153,192,416,388,374,180,305,362,225,217,1595,2.9,9.2,26.2,30.5,15.0,8.1,4.3,0.5,3.2,18060,18060
Camdenton,MO,3739,292,456,227,149,213,504,430,379,269,245,352,127,96,1715,4.4,4.9,27.2,27.5,25.0,6.3,0.9,1.8,2.0,21525,21525
Cameron,MO,10018,431,535,740,435,656,1743,1666,1453,523,412,572,500,352,3312,3.5,4.1,21.3,28.0,18.3,11.6,5.3,6.5,1.5,23976,23976
Cameron,TX,5205,292,424,379,387,277,628,446,624,249,303,609,362,225,2148,2.9,2.0,26.9,15.3,17.7,18.4,2.4,2.4,12.0,23487,23487
Camilla,GA,7170,312,215,430,596,495,1315,1020,980,509,393,477,278,150,2296,9.4,1.4,37.6,12.1,14.7,10.2,7.6,4.5,2.4,22829,22829
Campbellsville,KY,12063,816,746,726,1215,1125,1451,1211,1176,581,791,1236,687,302,5518,2.8,3.2,28.8,26.6,18.9,9.5,2.0,3.1,5.2,19823,19823
Camp Verde,AZ,5259,203,226,438,165,231,541,383,808,448,566,764,355,131,2161,0.1,2.1,34.6,27.9,19.1,4.6,6.1,3.7,1.8,22379,22379
Canadian,TX,3025,276,313,296,205,110,411,374,316,151,105,246,124,98,1665,4.9,6.6,17.0,13.6,16.9,15.4,7.7,12.1,5.9,27411,27411
Canby,OR,17367,1177,1303,1305,1321,887,2127,2570,2249,1113,782,1390,801,342,8919,0.0,2.8,14.8,13.6,26.7,16.3,6.0,10.7,9.2,32231,32231
Cannon Falls,MN,3948,281,201,332,217,274,592,350,645,243,162,300,215,136,2147,2.3,1.1,8.0,18.1,32.1,19.4,6.0,5.3,7.8,35246,35246
Caon City,CO,27971,1322,1075,1364,1203,1730,4492,3454,4129,2036,1552,2993,1861,760,9620,3.7,7.6,14.2,18.1,23.3,12.4,8.6,7.6,4.4,21664,21664
Canton,IL,14217,825,760,626,536,1199,2239,1936,1788,873,901,1121,959,454,6264,1.0,6.2,15.8,19.8,27.2,13.0,5.0,8.0,3.9,25432,25432
Canton,MS,16275,1501,1129,1147,1411,1230,2619,2254,1763,696,712,993,509,311,6336,3.7,10.0,23.0,19.9,17.2,13.5,3.8,6.5,2.5,22491,22491
Canton,NY,6452,180,192,123,1612,1879,624,407,444,204,195,394,131,67,3997,2.3,1.0,17.2,14.4,18.1,13.4,9.1,12.8,11.7,6527,6527
Canton,OH,279432,16216,16470,17966,17809,18021,33595,32832,38570,21591,17998,25522,15071,7771,143553,2.3,3.9,16.5,18.9,21.9,15.5,6.1,7.1,7.7,26992,26992
Canton,SD,2926,111,154,169,286,194,489,345,400,216,152,253,110,47,1893,5.5,1.0,10.1,27.4,25.6,16.3,5.7,5.1,3.5,31988,31988
Canton,TX,3736,232,80,203,253,347,383,421,400,298,307,453,231,128,1822,2.6,1.9,18.8,17.1,18.8,14.0,11.5,8.7,6.5,31464,31464
Canyon,TX,14224,897,896,740,1846,2339,1902,1606,1408,461,648,847,336,298,8123,5.1,7.6,13.8,14.8,26.5,11.7,3.9,7.9,8.7,21198,21198
Canyon Lake,TX,5314,197,227,295,258,199,823,579,677,680,423,656,265,35,2686,6.7,4.9,13.5,13.0,19.6,16.5,9.1,6.3,10.5,31810,31810
Cape Coral,FL,569232,29631,30453,33023,31491,30987,61960,63057,72946,38289,40317,77013,42555,17510,248563,2.0,5.2,18.2,20.5,22.5,13.3,4.3,6.7,7.2,25611,25611
Cape Girardeau,MO,55156,3329,3818,2875,4110,6781,7509,5848,6382,3366,2941,3753,2878,1566,30061,3.0,5.7,19.3,20.2,22.9,11.5,5.4,6.8,5.3,22994,22994
Captain Cook,HI,5059,392,337,370,264,193,702,615,473,258,607,482,203,163,2482,4.8,4.9,12.1,15.8,20.0,12.7,9.2,11.2,9.3,30756,30756
Carbondale,CO,6950,523,234,641,361,236,1409,1156,1005,267,392,451,174,101,4104,3.5,4.1,7.6,13.8,23.0,27.1,3.4,12.7,4.8,29861,29861
Carbondale,IL,68358,4120,3523,3650,5938,10494,10321,7434,6873,3325,3463,4857,2950,1410,34361,2.2,4.3,20.0,21.3,18.7,14.2,6.6,6.5,6.2,19792,19792
Carey,OH,3354,214,179,292,232,155,349,556,513,134,205,259,169,97,1818,1.0,2.3,13.6,30.8,25.6,19.2,1.9,1.9,3.7,30120,30120
Caribou,ME,4034,197,146,265,301,220,429,608,548,244,185,386,356,149,1983,3.3,6.1,23.0,19.7,18.8,13.9,4.3,5.4,5.3,21632,21632
Carlinville,IL,5880,369,381,317,574,515,678,797,416,322,281,664,390,176,3152,2.5,10.6,11.7,23.0,15.0,19.4,3.3,6.1,8.3,25477,25477
Carlisle,IA,4013,197,551,256,196,182,531,564,540,198,120,353,238,87,2112,1.6,3.6,9.0,18.9,23.3,21.7,5.4,11.6,4.9,35804,35804
Carlsbad,NM,31089,1963,2212,2752,2176,1875,3701,3965,4111,1817,1924,2451,1664,478,15176,1.9,6.4,11.5,15.9,18.7,16.8,8.3,11.3,9.1,32089,32089
Carlton,OR,2975,157,292,288,206,125,385,402,462,191,173,166,78,50,1478,0.0,1.3,12.9,21.5,25.5,17.8,5.5,9.5,5.9,30531,30531
Carlyle,IL,4220,247,250,284,203,214,642,470,674,332,268,322,196,118,2226,2.3,1.8,13.9,23.4,19.2,19.4,6.9,7.8,5.2,32399,32399
Carmel Valley Village,CA,2163,32,15,77,187,29,206,109,333,282,155,448,215,75,1480,0.0,0.0,7.1,15.2,17.1,15.8,5.7,12.0,27.2,38444,38444
Carmi,IL,5336,331,387,348,182,175,669,611,613,398,398,509,378,337,2584,5.2,3.6,17.5,19.6,19.6,15.2,9.5,5.6,4.2,25809,25809
Caro,MI,4742,277,175,199,286,360,606,443,752,320,306,432,401,185,2591,0.6,6.3,18.6,22.2,17.0,20.4,2.7,10.4,1.5,21358,21358
Carrizo Springs,TX,6553,611,412,677,544,462,560,848,815,155,477,603,158,231,3310,0.8,14.5,23.1,10.8,18.0,12.2,5.9,8.7,6.0,17056,17056
Carroll,IA,9865,677,848,493,510,432,1182,1161,1306,718,686,744,507,601,5544,1.7,4.5,11.8,28.9,23.8,13.0,4.2,6.8,5.3,29170,29170
Carrollton,GA,45102,3037,2879,3283,4975,5928,6384,5227,4659,2342,1833,2544,1463,548,22195,1.9,7.3,20.1,18.9,20.1,12.3,6.6,7.2,5.5,20722,20722
